miRNA_ID,Tumor_Mean,Tumor_Std,Normal_Mean,Normal_Std,p_value,log2FC,Category,hsa-miR-XXX
MIMAT0000079,3.9155837155963304,2.4601527376180528,0.10354,3.034926066761277,3.111735495179935e-22,5.240967264870799,blue,hsa-miR-24-1-5p
MIMAT0000419,3.2895022935779816,2.4679062592089522,0.06305999999999998,2.6262828738994153,1.4083630657639516e-21,5.705000338393551,blue,hsa-miR-27b-3p
MIMAT0000085,3.359105504587155,2.3768421617023505,0.17788,2.814071130744369,2.1557125898022707e-19,4.239100894308889,blue,hsa-miR-28-5p
MIMAT0004517,3.2295561926605507,2.6455160351302967,0.03900999999999999,2.9844799607741765,5.6422279321356885e-18,6.371348114028219,blue,hsa-miR-106a-3p
MIMAT0016893,2.681480504587156,2.386108351492345,0.10002999999999992,2.5974467784283233,3.0335424122875673e-16,4.744525115725392,blue,hsa-miR-4267
MIMAT0003256,2.483612385321101,2.2946504434986887,0.10360000000000003,2.462854552232946,1.3007953360619644e-15,4.583344123146578,blue,hsa-miR-589-3p
MIMAT0000074,2.993269495412844,2.3636222493013084,0.14600000000000002,3.070277126964868,7.271025398448118e-15,4.357681901775641,blue,hsa-miR-19b-3p
MIMAT0000761,2.40565252293578,2.3908933526576166,0.12585000000000005,2.4612579167629467,1.1305690953574752e-14,4.256651150312166,blue,hsa-miR-324-5p
MIMAT0001635,2.648651376146789,2.5260148644285203,0.04354,2.8519307740192392,1.82735837798042e-14,5.926772746377747,blue,hsa-miR-452-5p
MIMAT0002851,2.38654243119266,2.4182770694071145,0.05239,2.6755243416813257,1.548386071951998e-13,5.509486714577749,blue,hsa-miR-517-5p
MIMAT0000070,2.755332568807339,2.4511071318294104,0.14265000000000005,3.0170404870510197,1.7944527810329927e-13,4.271674810652464,blue,hsa-miR-17-5p
MIMAT0002863,2.4233016055045873,2.5727270444209602,0.02833000000000003,2.7888889393919274,3.225222436259324e-13,6.418499562673275,blue,hsa-miR-518a-3p
MIMAT0019363,2.4776387614678903,2.5547345051384434,0.022760000000000044,2.9653152765419275,1.3505543012956132e-12,6.766321490702677,blue,hsa-miR-3978
MIMAT0001625,2.3956250000000003,2.4796635415757935,0.11638999999999998,2.7619603779185393,1.6616816265575599e-12,4.363363077864199,blue,hsa-miR-431-5p
MIMAT0017981,2.341807339449541,2.4286425802465694,0.06577999999999994,2.7647441607395495,1.7635330814678207e-12,5.153829571764235,blue,hsa-miR-3605-5p
MIMAT0000687,2.245311926605505,2.4428289399383223,0.017689999999999973,2.7241796641050007,2.4147259405229197e-12,6.98783802488944,blue,hsa-miR-299-3p
MIMAT0019221,2.0042087155963304,2.348622666948336,0.08778000000000002,2.458955878359181,1.8470679963009944e-11,4.51299667625225,blue,hsa-miR-3677-5p
MIMAT0003309,1.9522431192660552,2.3558571360616067,0.032279999999999955,2.474686161430527,2.181825981051679e-11,5.918348338813285,blue,hsa-miR-639
