miRNA_ID,Tumor_Mean,Tumor_Std,Normal_Mean,Normal_Std,p_value,log2FC,Category
MIMAT0005898,8.329754587155964,2.342580455148191,1.8305500000000001,3.531465141832749,2.2505562921199806e-34,2.185996811021469,red
MIMAT0000440,6.402452981651376,1.909937728402307,0.8948499999999998,3.089485378920842,3.4980796996499685e-33,2.8389069782341814,red
MIMAT0000100,5.265854357798165,2.213102099540151,0.6293699999999999,2.7615483493793107,2.320610409656113e-31,3.064687303239429,red
MIMAT0015072,4.915088302752293,1.8885594070573244,0.3143699999999999,2.758921823719176,5.519339621793207e-31,3.966681881351344,red
MIMAT0019716,4.823888761467891,2.4673443018354932,0.63537,2.5643898624756094,1.3863362712801731e-30,2.924527761533634,red
MIMAT0006764,4.977524082568807,1.9135133913420384,0.8851099999999998,2.737363978983128,2.0244167177363755e-27,2.491499628907362,red
MIMAT0019925,5.826642201834863,2.0769840871417196,1.4398100000000003,2.941013148095861,2.3668313926400687e-27,2.0167862779350605,red
MIMAT0019896,5.631067660550459,2.440347745120762,1.3384200000000002,3.192493133536354,3.376194688474813e-24,2.0728775769823033,red
MIMAT0000422,4.524454128440367,2.1285636878712184,1.02573,2.7228232260473737,7.012448846040837e-23,2.1410927183682924,red
MIMAT0000104,4.044900229357798,2.5295938884179434,0.42497999999999997,2.8868590564343757,3.573932455961406e-22,3.2506372646532737,red
"MIMAT0002831, MIMAT0005449, MIMAT0005450, MIMAT0005451, MIMAT0005452, MIMAT0005454",4.204048165137615,2.1233700419899755,0.9418100000000001,2.6151804028198375,4.858408671173074e-22,2.1582712519764065,red
MIMAT0000417,3.529625,2.4030843614388027,0.47919999999999985,2.841118413298509,4.1778725481820266e-18,2.880815101311293,red
MIMAT0004901,3.0755000000000003,2.320454564716059,0.3668399999999999,2.523535309638028,4.741832914311665e-18,3.0675981127702094,red
MIMAT0019796,3.550655963302753,2.4605067838784853,0.8384200000000002,2.646223900755431,6.102103288317838e-17,2.0823405418530254,red
MIMAT0000705,3.044520642201835,2.530268192250956,0.22635999999999995,2.8365306434645006,2.9357585376457266e-16,3.749524146968817,red
MIMAT0026620,3.284381880733945,2.3086487391886172,0.71663,2.651256712324641,1.0359895145699075e-15,2.1963215366029694,red
MIMAT0018933,2.92959747706422,2.6592822011136956,0.3969099999999999,2.7082696480903965,7.306959499341371e-15,2.8838186377421025,red
MIMAT0000088,2.6627431192660547,2.3607197919771714,0.2298199999999999,2.622874690876482,9.088951287610152e-15,3.534336996712344,red
MIMAT0015066,2.7569357798165135,2.477579619244199,0.4479599999999999,2.5366682671121463,2.6166368312639768e-14,2.6216238419502687,red
MIMAT0000256,2.7717958715596334,2.364094847373248,0.4331600000000001,2.5793345423213565,2.755435212563129e-14,2.6778490852839507,red
MIMAT0000437,3.193940366972477,2.471170415535244,0.77196,2.751780488514609,1.0310452035707753e-13,2.048739377277143,red
MIMAT0005877,2.692505733944954,2.3398729684702713,0.5484399999999998,2.4620208966118735,1.8538029647590417e-13,2.2955437153380784,red
MIMAT0000069,3.0224529816513757,2.490203124815003,0.32037,3.1546448827823155,2.775776460211674e-13,3.2379089338447575,red
MIMAT0002806,3.070561926605505,2.569312731296226,0.3845400000000001,3.139769216958083,3.0865333168099125e-13,2.997297118617104,red
MIMAT0004543,2.718479357798165,2.519781260354288,0.45638999999999996,2.6394653150579455,3.7811085119483804e-13,2.5744607873037957,red
MIMAT0019759,2.5055206422018346,2.4617788458107546,0.34134999999999993,2.556715658236306,6.577953271960784e-13,2.875786766739411,red
MIMAT0005576,2.4585080275229356,2.348923469850492,0.56233,2.2611045707571753,1.1753278159692078e-12,2.128294144814395,red
MIMAT0000081,2.277604357798165,2.2776261511976315,0.14427999999999994,2.568467263257261,1.2404880402805519e-12,3.980573925189699,red
MIMAT0019207,2.4832465596330278,2.6065008906989324,0.2632,2.6599267324913707,1.2440417468022494e-12,3.237996118517107,red
MIMAT0019817,2.7094541284403673,2.423599700610723,0.55351,2.638167677928885,2.596543547807101e-12,2.291320935401698,red
MIMAT0000426,2.5534438073394496,2.437632329181186,0.39577999999999997,2.6417552956358774,2.680550209729762e-12,2.689673695110118,red
MIMAT0001638,2.798223623853211,2.6580555005642035,0.5851000000000001,2.743136159562444,4.895786616680167e-12,2.2577561387797935,red
MIMAT0030985,2.352454128440367,2.504262201896948,0.18502,2.7295834994379713,8.214166442911617e-12,3.6684134570138807,red
MIMAT0001636,2.6651708715596336,2.585977387534656,0.5015700000000001,2.735883866395656,1.025172044872537e-11,2.409705066080636,red
MIMAT0015005,2.1306123853211005,2.318863352587863,0.2749599999999999,2.3564803146072135,1.32381082429588e-11,2.953974490716124,red
MIMAT0002826,2.563077981651376,2.6345303685037686,0.38499,2.8866517687872273,5.6827105136955785e-11,2.734984495460944,red
MIMAT0000707,2.614112385321101,2.546546093608523,0.5458700000000001,2.753057890892608,6.849398175045946e-11,2.259691849942203,red
MIMAT0002825,2.4706720183486244,2.516574547619876,0.3117600000000001,2.907856790410311,9.279392600487114e-11,2.9863957639131424,red
MIMAT0000446,2.3299334862385317,2.490757290155761,0.32386000000000004,2.696888023353037,9.786500585516528e-11,2.846846573384511,red
MIMAT0025470,1.9428004587155963,2.3720767541884005,0.18952000000000002,2.357540738339275,1.1897384039543762e-10,3.357715723306347,red
MIMAT0000452,2.195058486238532,2.3803798961672373,0.3548400000000001,2.4897855683093706,1.3227299706377308e-10,2.6290188257578677,red
MIMAT0019928,2.4154116972477064,2.5489474960801894,0.5485800000000001,2.5551463860494206,2.1911174779718266e-10,2.1384951807874804,red
